calibration method,metric,model,comb
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
none,ECE (W),0.006776732623577173,0.011339353208208017
none,ECE (M),0.005656024297078444,0.010467752032073577
none,cwECE (WT),0.015063037918005923,0.018603685078544836
none,cwECE (MT),0.007653879404048891,0.01072840527637661
none,cwECE (WNT),0.002197986285713321,0.003029304778340856
none,cwECE (MNT),0.0014770020822669927,0.00126696765901565
none,NLL,0.04394049197435379,0.482055176846898
confusion,ECE (W),0.0023913779712269045,0.010573877063023922
confusion,ECE (M),0.005371589114560637,0.009049787663921656
confusion,cwECE (WT),0.005424086901755165,0.013480742164439882
confusion,cwECE (MT),0.005424086901755165,0.010318326193803011
confusion,cwECE (WNT),0.0008278628622503308,0.002257036320087352
confusion,cwECE (MNT),0.0011625667222194779,0.0018183372642995698
confusion,NLL,0.17238416561665812,0.4738276316840303
temperature scaling,ECE (W),0.0035187218983967878,0.010795357663267075
temperature scaling,ECE (M),0.00509705650806427,0.010113227969588077
temperature scaling,cwECE (WT),0.0124749101666052,0.017354310233408464
temperature scaling,cwECE (MT),0.006551771980823051,0.009867878675747354
temperature scaling,cwECE (WNT),0.0017734206042043388,0.002817691490274887
temperature scaling,cwECE (MNT),0.0010332437960032458,0.0012010538744735078
temperature scaling,NLL,0.043459802865982056,0.4794600859437005
ensemble temperature scaling,ECE (W),0.003200118646056745,0.010742665021515403
ensemble temperature scaling,ECE (M),0.005084918845780863,0.010224083960897178
ensemble temperature scaling,cwECE (WT),0.011864884557518026,0.017099331553547953
ensemble temperature scaling,cwECE (MT),0.006741748571731826,0.009836406161498334
ensemble temperature scaling,cwECE (WNT),0.0017302419948913284,0.0027911691854520825
ensemble temperature scaling,cwECE (MNT),0.0009937855553220905,0.0011975447210124596
ensemble temperature scaling,NLL,0.04358624727401975,0.4791914661013187
imax binning,ECE (W),0.0034355100641647526,0.011273614069070192
imax binning,ECE (M),0.0015688434292873,0.010535578029899701
imax binning,cwECE (WT),0.009739369156978749,0.017595492754490193
imax binning,cwECE (MT),0.0057178085718138285,0.009308926919014932
imax binning,cwECE (WNT),0.0014713264886057002,0.002764042091827091
imax binning,cwECE (MNT),0.0008971971714054249,0.0012792344481465697
imax binning,NLL,0.042003899812698364,0.4781711929553985
