calibration method,metric,model,comb
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
none,ECE (W),0.005050012975931193,0.012094367151638714
none,ECE (M),0.003993501096963888,0.010233639681020501
none,cwECE (WT),0.013198355748201076,0.0185122443274142
none,cwECE (MT),0.005639631307718606,0.008886146406604066
none,cwECE (WNT),0.0020782486138976744,0.0028612278411846432
none,cwECE (MNT),0.0012053539657454165,0.0011702397101820811
none,NLL,0.043927405029535294,0.4819131320514708
confusion,ECE (W),0.0012123494429112647,0.008611388549008827
confusion,ECE (M),0.0031742404981521233,0.009149265997013396
confusion,cwECE (WT),0.0031668888648617166,0.012280851892330543
confusion,cwECE (MT),0.0031668888648617166,0.008951450946409357
confusion,cwECE (WNT),0.0005153051762838922,0.0019921706503431675
confusion,cwECE (MNT),0.0008097641219513691,0.0016105319788357378
confusion,NLL,0.2789955417960889,0.5085458589059303
temperature scaling,ECE (W),0.0031761934359868316,0.01062433591877643
temperature scaling,ECE (M),0.0032445491552353105,0.010629398619787222
temperature scaling,cwECE (WT),0.010370775963268334,0.016262477219920208
temperature scaling,cwECE (MT),0.005124590478864504,0.009487910897547257
temperature scaling,cwECE (WNT),0.001589308191366932,0.0026736592257178347
temperature scaling,cwECE (MNT),0.0006834140142678662,0.001104835613245028
temperature scaling,NLL,0.04537763074040413,0.4796074571586235
ensemble temperature scaling,ECE (W),0.003158109312951574,0.010511726757301816
ensemble temperature scaling,ECE (M),0.004077419702753222,0.010523414292799804
ensemble temperature scaling,cwECE (WT),0.009580833205527457,0.014740631400267332
ensemble temperature scaling,cwECE (MT),0.005957884705953724,0.009058679014605203
ensemble temperature scaling,cwECE (WNT),0.001507051093397498,0.0025096404380763747
ensemble temperature scaling,cwECE (MNT),0.0008000176562784773,0.001183237617794743
ensemble temperature scaling,NLL,0.04142397940808435,0.4793126891441834
imax binning,ECE (W),0.0022373376339673155,0.010202656964734151
imax binning,ECE (M),0.002406568164626718,0.010215675070660582
imax binning,cwECE (WT),0.00876182508280535,0.015877122211635723
imax binning,cwECE (MT),0.0035561320738166807,0.009020858603329154
imax binning,cwECE (WNT),0.0015093766316607022,0.002629022992093983
imax binning,cwECE (MNT),0.0007323580894541263,0.0010211637442538567
imax binning,NLL,0.04635251685976982,0.4455095731825504
